section,movement,movement_alt_variation,movement_alt_challenge,activity,duration_value,duration_min,duration_max,pace,incline,distance,reps,equipment,weight,stroke_rate,pw_incline_min,pw_incline_max,pw_distance,jog_distance,run_distance,bike_distance,strider_distance
warmup,5823768d473c06100052ed9a,,,walk,60,,,,1,,,,,,1,3,,,,,
warmup,5823768d473c06100052ed9a,,,run,240,,,base,1,,,,,,,,,,,,
warmup,58459d9ddc2ce90011f93d84,,,row,180,,,,,,,,,24,,,,,,,
tread1,5823768d473c06100052ed9a,,,run,30,,,push,1,,,,,,8,,,,,,
tread1,5823768d473c06100052ed9a,,,run,30,,,base,1,,,,,,1,3,,,,,
tread1,5823768d473c06100052ed9a,,,run,30,,,all_out,1,,,,,,8,,,,,,
recovery1,5823768d473c06100052ed9a,,,walk,60,,,,1,,,,,,,,,,,,
recovery1,5823768d473c06100052ed9a,,,run,60,,,base,1,,,,,,,,,,,,
tread2,5823768d473c06100052ed9a,,,run,60,,,base,3,,,,,,9,,,,,,
tread2,5823768d473c06100052ed9a,,,run,60,,,base,4,,,,,,1,3,,,,,
tread2,5823768d473c06100052ed9a,,,run,60,,,base,5,,,,,,9,,,,,,
tread2,5823768d473c06100052ed9a,,,run,60,,,base,1,,,,,,1,3,,,,,
tread2,5823768d473c06100052ed9a,,,run,30,,,base,5,,,,,,6,,,,,,
tread2,5823768d473c06100052ed9a,,,run,30,,,base,6,,,,,,10,,,,,,
tread2,5823768d473c06100052ed9a,,,run,30,,,all_out,7,,,,,,,,,,,,
recovery2,5823768d473c06100052ed9a,,,walk,60,,,,,,,,,,,,,,,,
recovery2,5823768d473c06100052ed9a,,,run,30,,,base,1,,,,,,,,,,,,
tread3,5823768d473c06100052ed9a,,,run,30,,,push,1,,,,,,8,,,,,,
tread3,5823768d473c06100052ed9a,,,run,30,,,base,1,,,,,,1,3,,,,,
tread3,5823768d473c06100052ed9a,,,run,30,,,all_out,1,,,,,,8,,,,,,
recovery3,5823768d473c06100052ed9a,,,walk,60,,,base,1,,,,,,,,,,,,
recovery3,5823768d473c06100052ed9a,,,run,60,,,base,1,,,,,,,,,,,,
tread4,5823768d473c06100052ed9a,,,run,60,,,base,7,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,60,,,base,6,,,,,,1,3,,,,,
tread4,5823768d473c06100052ed9a,,,run,60,,,base,5,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,60,,,base,1,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,30,,,base,5,,,,,,1,3,,,,,
tread4,5823768d473c06100052ed9a,,,run,30,,,base,4,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,30,,,all_out,3,,,,,,8,,,,,,
recovery4,5823768d473c06100052ed9a,,,walk,60,,,,1,,,,,,,,,,,,
recovery4,5823768d473c06100052ed9a,,,run,30,,,base,1,,,,,,,,,,,,
tread5,5823768d473c06100052ed9a,,,run,30,,,push,1,,,,,,8,,,,,,
tread5,5823768d473c06100052ed9a,,,run,30,,,base,1,,,,,,1,3,,,,,
tread5,5823768d473c06100052ed9a,,,run,30,,,all_out,1,,,,,,8,,,,,,
rest,,,,rest,90,,,,,,,,,,,,,,,,
rest,,,,rest,120,,,,,,,,,,,,,,,,